username,created_at,text,likes,reposts,section,merged_section
NowThis Impact,2025-05-30 19:18:56,"Represent Justice helps system-impacted people share their stories through film, encouraging all of us to reimagine our justice system.",32,7,Social Justice,Social Issues
NowThis Impact,2025-05-30 16:41:35,There’s a theme — that’s all we’re saying,307,113,Opinion,Opinion
NowThis Impact,2025-05-30 16:35:04,Trump attacked President Biden — who announced his stage four prostate cancer diagnosis earlier this month — calling him ‘vicious’ and ‘not a smart person.’ Classy.,14,8,Politics,Politics
NowThis Impact,2025-05-30 16:23:47,Let’s TACO-bout it,13,2,Food,Food & Lifestyle
NowThis Impact,2025-05-30 15:48:44,MAGA is really upset about this one.,262,21,Politics,Politics
NowThis Impact,2025-05-30 15:19:32,"T.A.C.O., short for ‘Trump always chickens out,’ is an acronym Wall Street coined to describe Trump’s chaotic tariff policy.",26,6,Economics,Business & Economy
NowThis Impact,2025-05-30 15:09:57,Going from podcaster to FBI official has been really tough on Dan Bongino.,8,4,Politics,Politics
NowThis Impact,2025-05-30 15:03:02,Savannah Chrisley has pledged to ‘continue fighting for the men and women that are in prison.’ Jimmy Kimmel thinks that’s a great idea.,404,89,Entertainment News,Entertainment
NowThis Impact,2025-05-30 14:57:57,He didn’t even have to say Trump’s name,24,5,Politics,Politics
NowThis Impact,2025-05-30 14:53:14,RFK Jr.’s Health and Human Services Department recently released a 73-page report on children’s health — but the document is full of significant problems and inaccuracies.,14,5,Health,Health
NowThis Impact,2025-05-30 11:42:57,"'Well, we're all going to die'",64,31,Opinion,Opinion
NowThis Impact,2025-05-29 11:31:44,She called Trump a ....what??,152,18,Politics,Politics
NowThis Impact,2025-05-29 19:34:10,"The members of the Arizona chapter of Chambers of Mothers helped pass a bill that will support countless future moms and women in their state. This is what regular people can do — create real, effective change!",42,9,Local News,Local News
NowThis Impact,2025-05-29 18:09:30,Here’s how Reagan’s decision to repeal the Fairness Doctrine helped pave the way for networks like Fox News — and for a media landscape where partisanship often matters more than the truth.,69,22,Media and Politics,Media and Politics
NowThis Impact,2025-05-29 16:25:16,There’s no wonder he wanted the bill to be this big — that way he could hide sh*t like this in there.,77,28,Politics,Politics
NowThis Impact,2025-05-29 15:54:27,"Yes, we know he’s leaving because his contract expired after 130 days, but that doesn’t mean we can’t still enjoy a good meme, right?",12,5,Entertainment,Entertainment
NowThis Impact,2025-05-29 12:58:43,"GOP Rep. Ashley Hinson of Iowa was booed by her constituents after defending Trump and his administration’s policies at a recent town hall. ‘The president is, I believe, fighting for you and fighting for me,’ Hinson said, to which the crowd promptly responded with a resounding ‘NO!’",47,18,Politics,Politics
NowThis Impact,2025-05-29 12:49:48,"The only people who could benefit from the Big, Ugly Bill are the rich. Point blank.",29,11,Politics,Politics
NowThis Impact,2025-05-29 12:22:28,"Elon Musk’s time at the White House is over, and his relationship with Trump has reportedly soured. Oh well! Here are some of his most memorable moments.",28,7,Entertainment News,Entertainment
NowThis Impact,2025-05-29 12:09:05,"Trump once again shows his inability to answer questions. This week, the administration announced a pause on all student visa interviews at American embassies — reportedly to allow more thorough vetting of students’ social media accounts.",15,7,Politics,Politics
NowThis Impact,2025-05-29 11:51:53,"Lawrence O’Donnell reads Trump to absolute filth on this clip from ‘The Last Word.’ As he points out, yet again, the president has reversed his own tariff policy and backed down on one of his own orders.",71,10,Politics,Politics
NowThis Impact,2025-05-29 11:31:44,She called Trump a ....what??,152,18,Politics,Politics
NowThis Impact,2025-05-28 15:06:26,"At 26 years old, @katmabu.bsky.social ‬ is running for Congress in Illinois and wants more young people to do the same. As she says, 'You got to put the work in: We all do.'",496,80,Politics,Politics
NowThis Impact,2025-05-28 15:10:01,Thank you so much for amplifying my congressional campaign! People interested in learning more about me and our community goals can check out katforillinois.com,23,4,Politics,Politics
NowThis Impact,2025-05-28 17:37:26,"Look at his pardons and you’ll see what Trump is okay with: tax evasion, bribery, wire fraud.",26,11,Politics,Politics
NowThis Impact,2025-05-28 17:27:12,One of the best takedowns I've ever seen,237,76,Sports,Sports
NowThis Impact,2025-05-28 17:14:16,The budget bill that strips away Medicaid and gives tax breaks to the wealthy is — unsurprisingly — deeply unpopular.,257,14,Politics,Politics
NowThis Impact,2025-05-28 17:09:01,"NowThis Impact spoke to the executive producer of Sesame Street about the profound influence of children’s public media after the organization received the Elevate Catalyst Award at the Make Good Famous Summit.

youtube.com/shorts/ZSuNY...",13,2,Entertainment,Entertainment
NowThis Impact,2025-05-28 17:05:41,"Conversion therapy has been proven to increase the risk of self-harm for LGB — and especially trans — youth. So why is the HHS, led by RFK Jr., promoting it over therapies that actually help?",24,4,Health,Health
NowThis Impact,2025-05-28 16:49:24,"'It's just part of a larger trend with Donald Trump, who will always do things for the wealthy, while also claiming he's for working class people, but doing absolutely nothing to",113,9,Politics,Politics
NowThis Impact,2025-05-28 15:06:26,"At 26 years old, @katmabu.bsky.social ‬ is running for Congress in Illinois and wants more young people to do the same. As she says, 'You got to put the work in: We all do.'",496,80,Politics,Politics
NowThis Impact,2025-05-28 13:57:25,"RFK Jr. unilaterally removed the CDC’s recommendation for COVID-19 vaccination in healthy children and pregnant people. Now, private insurance companies and Medicaid will no longer be required to cover the cost of these vaccines.",26,11,Health News,Health
NowThis Impact,2025-05-27 17:48:15,Marjorie Taylor Greene is out here fighting with the robots after an AI questioned her faith,48,13,Politics,Politics
NowThis Impact,2025-05-27 17:36:50,"Harvard’s free online courses on the U.S. Constitution and American government have recently gone viral.

The classes offer a unique opportunity to audit courses taught by leading faculty at no cost.",67,29,Education,Education
NowThis Impact,2025-05-27 17:25:31,"It’s pretty clear who Kamala Harris was referring to when you remember Elon Musk, on Joe Rogan’s podcast, said that ‘the fundamental weakness of Western civilization is empathy.’",20,5,Politics,Politics
NowThis Impact,2025-05-27 15:26:08,Rep. Jasmine Crockett did not mince words about Trump’s West Point commencement speech.,55,9,Politics,Politics
NowThis Impact,2025-05-27 14:58:48,"The SAVE Act, which would require proof of citizenship to vote — potentially disenfranchising millions who lack proper documentation — is unlikely to pass in the Senate and become federal law.

youtube.com/shorts/V1Sym...",17,10,Voting Rights,Voting Rights
